student Name,student Surname,student Imperial College e-mail address,student Interests,tutor First Name,tutor Last Name,tutor Email address,tutor Interests,tutor Preferred role,examiner First Name,examiner Last Name,examiner Email address,examiner Interests,examiner Preferred role,Score1,Score2,Score3
Student4,SStudent4,student4@ic.ac.uk,Neurobiology;Cancer Biology and Immunology;Structural Biology and Protein Science;Synthetic Biology;Biophysics;Cell and Developmental Biology;Malaria and other Infectious Diseases;Microbiology;Plant Science;Bioinformatics and Computational Biology;,Surname42,Name42,email2@ic.ac.uk,"Neurobiology,Biophysics",Neutral,Surname43,Name43,email1@ic.ac.uk,"Neurobiology,Bioinformatics and Computational Biology",Examiner,3.535674201318386,0.4999999999999999,0.4999999999999999
Student10,SStudent10,student10@ic.ac.uk,Biophysics;Neurobiology;Bioinformatics and Computational Biology;Cancer Biology and Immunology;Plant Science;Synthetic Biology;Microbiology;Cell and Developmental Biology;Malaria and other Infectious Diseases;Structural Biology and Protein Science;,Surname99,Name99,email1@ic.ac.uk,"Bioinformatics and Computational Biology,Biophysics",Neutral,Surname38,Name38,email2@ic.ac.uk,"Bioinformatics and Computational Biology,Biophysics",Examiner,4.488832770734629,0.9999999999999998,0.9999999999999998
Student20,SStudent20,student20@ic.ac.uk,Synthetic Biology;Microbiology;Structural Biology and Protein Science;Plant Science;Biophysics;Cell and Developmental Biology;Bioinformatics and Computational Biology;Cancer Biology and Immunology;Neurobiology;Malaria and other Infectious Diseases;,Surname78,Name78,email2@ic.ac.uk,"Biophysics,Microbiology,Structural Biology and Protein Science",Neutral,Surname2,Name2,email2@ic.ac.uk,"Biophysics,Microbiology,Structural Biology and Protein Science",Neutral,4.0746911295702,1.0000000000000002,1.0000000000000002
Student22,SStudent22,student22@ic.ac.uk,Structural Biology and Protein Science;Synthetic Biology;Cancer Biology and Immunology;Biophysics;Cell and Developmental Biology;Microbiology;Plant Science;Neurobiology;Bioinformatics and Computational Biology;Malaria and other Infectious Diseases;,Surname55,Name55,email1@ic.ac.uk,"Biophysics,Structural Biology and Protein Science",Neutral,Surname95,Name95,email1@ic.ac.uk,"Biophysics,Structural Biology and Protein Science",Examiner,4.276142374915397,0.9999999999999998,0.9999999999999998
Student9,SStudent9,student9@ic.ac.uk,Microbiology;Malaria and other Infectious Diseases;Bioinformatics and Computational Biology;Plant Science;Cell and Developmental Biology;Cancer Biology and Immunology;Neurobiology;Structural Biology and Protein Science;Synthetic Biology;Biophysics;,Surname32,Name32,email2@ic.ac.uk,Bioinformatics and Computational Biology,Neutral,Surname52,Name52,email2@ic.ac.uk,Bioinformatics and Computational Biology,Examiner,3.8333333333333335,1.0,1.0
Student24,SStudent24,student24@ic.ac.uk,Structural Biology and Protein Science;Cell and Developmental Biology;Cancer Biology and Immunology;Neurobiology;Bioinformatics and Computational Biology;Plant Science;Microbiology;Biophysics;Malaria and other Infectious Diseases;Synthetic Biology;,Surname50,Name50,email2@ic.ac.uk,"Biophysics,Structural Biology and Protein Science",Neutral,Surname51,Name51,email1@ic.ac.uk,"Biophysics,Structural Biology and Protein Science",Examiner,3.4253807916384655,0.4999999999999999,0.9999999999999998
Student27,SStudent27,student27@ic.ac.uk,Malaria and other Infectious Diseases;Synthetic Biology;Microbiology;Bioinformatics and Computational Biology;Structural Biology and Protein Science;Plant Science;Biophysics;Cell and Developmental Biology;Cancer Biology and Immunology;Neurobiology;,Surname53,Name53,email1@ic.ac.uk,"Bioinformatics and Computational Biology,Synthetic Biology",Neutral,Surname65,Name65,email1@ic.ac.uk,"Bioinformatics and Computational Biology,Plant Science,Synthetic Biology,Structural Biology and Protein Science",Neutral,3.6891995328345297,0.7071067811865475,0.7071067811865475
Student33,SStudent33,student33@ic.ac.uk,Microbiology;Synthetic Biology;Cell and Developmental Biology;Structural Biology and Protein Science;Bioinformatics and Computational Biology;Cancer Biology and Immunology;Biophysics;Neurobiology;Malaria and other Infectious Diseases;Plant Science;,Surname35,Name35,email1@ic.ac.uk,"Microbiology,Structural Biology and Protein Science",Neutral,Surname58,Name58,email2@ic.ac.uk,"Microbiology,Structural Biology and Protein Science",Neutral,4.276142374915397,0.9999999999999998,0.9999999999999998
Student3,SStudent3,student3@ic.ac.uk,Cancer Biology and Immunology;Neurobiology;Plant Science;Malaria and other Infectious Diseases;Cell and Developmental Biology;Structural Biology and Protein Science;Microbiology;Synthetic Biology;Biophysics;Bioinformatics and Computational Biology;,Surname67,Name67,email1@ic.ac.uk,Cancer Biology and Immunology,Neutral,Surname47,Name47,email1@ic.ac.uk,Cancer Biology and Immunology,Examiner,4.5,1.0,1.0
Student7,SStudent7,student7@ic.ac.uk,Malaria and other Infectious Diseases;Microbiology;Cell and Developmental Biology;Synthetic Biology;Plant Science;Structural Biology and Protein Science;Cancer Biology and Immunology;Bioinformatics and Computational Biology;Neurobiology;Biophysics;,Surname60,Name60,email2@ic.ac.uk,"Cell and Developmental Biology,Malaria and other Infectious Diseases",Neutral,Surname6,Name6,email2@ic.ac.uk,"Cell and Developmental Biology,Biophysics",Examiner,3.7388327707346294,0.4999999999999999,0.4999999999999999
Student14,SStudent14,student14@ic.ac.uk,Synthetic Biology;Plant Science;Microbiology;Cell and Developmental Biology;Cancer Biology and Immunology;Biophysics;Neurobiology;Bioinformatics and Computational Biology;Malaria and other Infectious Diseases;Structural Biology and Protein Science;,Surname56,Name56,email2@ic.ac.uk,"Plant Science,Synthetic Biology",Neutral,Surname66,Name66,email2@ic.ac.uk,"Biophysics,Plant Science,Synthetic Biology",Neutral,4.436462672338355,0.816496580927726,0.816496580927726
Student15,SStudent15,student15@ic.ac.uk,Synthetic Biology;Microbiology;Plant Science;Malaria and other Infectious Diseases;Cancer Biology and Immunology;Cell and Developmental Biology;Neurobiology;Structural Biology and Protein Science;Biophysics;Bioinformatics and Computational Biology;,Surname54,Name54,email2@ic.ac.uk,"Microbiology,Synthetic Biology",Neutral,Surname26,Name26,email2@ic.ac.uk,"Biophysics,Microbiology,Synthetic Biology",Examiner,4.436462672338355,0.816496580927726,0.816496580927726
